SubjecNumber	run	trial	Stimulus	StimulusValue	Condition	Rating	RatingRT	StartSliderPosition	stimulusOnset	StimulusOffset	RatingScaleOnset	RatingScaleOffset
404	4	1	Fc1_2231.jpg	70	summ	69	1.631987e+03	60	3.010234e+00	6.027469e+00	1.301396e+01	1.602920e+01
404	4	2	Fc3_1312.jpg	40	conj	4.950000e+01	2.291123e+03	60	2.051337e+01	2.353049e+01	3.151403e+01	3.453212e+01
404	4	3	Fc1_1211.jpg	30	summ	60	6.593777e+02	60	4.201714e+01	4.503422e+01	5.301384e+01	5.602155e+01
404	4	4	Fc3_1112.jpg	90	conj	90	2.294043e+03	60	6.200500e+01	6.502161e+01	7.201418e+01	7.502262e+01
404	4	5	Fc1_2211.jpg	40	summ	3.975000e+01	-999	60	8.000696e+01	8.302421e+01	9.051387e+01	9.355908e+01
404	4	6	Fc3_1213.jpg	50	conj	5.025000e+01	1.531516e+03	60	1.015108e+02	1.045279e+02	1.085140e+02	1.115289e+02
404	4	7	Fc3_1313.jpg	70	conj	72	2.526215e+03	60	1.185136e+02	1.215308e+02	1.275140e+02	1.305322e+02
404	4	8	Fc1_1221.jpg	50	summ	78	-999	60	1.365168e+02	1.395340e+02	1.470141e+02	1.500558e+02
404	4	9	Fc1_3231.jpg	90	summ	9.150000e+01	2.928258e+03	60	1.570062e+02	1.600228e+02	1.645139e+02	1.676060e+02
404	4	10	Fc1_3221.jpg	80	summ	81	2.012918e+03	60	1.755069e+02	1.785241e+02	1.865130e+02	1.895257e+02
404	4	11	Fc1_1221.jpg	50	summ	4.950000e+01	2.116022e+03	60	1.965105e+02	1.995277e+02	2.045140e+02	2.075288e+02
404	4	12	Fc1_3221.jpg	80	summ	8.175000e+01	2.751409e+03	60	2.130134e+02	2.160306e+02	2.220141e+02	2.250318e+02
404	4	13	Fc3_1213.jpg	50	conj	4.875000e+01	1.710287e+03	60	2.290161e+02	2.320334e+02	2.370140e+02	2.400237e+02
404	4	14	Fc3_1211.jpg	80	conj	8.025000e+01	1.678444e+03	60	2.445188e+02	2.475360e+02	2.535128e+02	2.565238e+02
404	4	15	Fc1_1211.jpg	30	summ	2.775000e+01	2.710748e+03	60	2.645075e+02	2.675241e+02	2.750139e+02	2.780243e+02
404	4	16	Fc3_1211.jpg	80	conj	8.025000e+01	-999	60	2.820085e+02	2.850258e+02	2.910141e+02	2.940771e+02
404	4	17	Fc1_2231.jpg	70	summ	6.975000e+01	2.435996e+03	60	2.990116e+02	3.020287e+02	3.085134e+02	3.115302e+02
404	4	18	Fc3_1112.jpg	90	conj	87	-999	60	3.195152e+02	3.225323e+02	3.280128e+02	3.310579e+02
404	4	19	Fc1_2211.jpg	40	summ	42	2.480804e+03	60	3.350178e+02	3.380350e+02	3.455129e+02	3.485248e+02
404	4	20	Fc3_1111.jpg	30	conj	30	2.912371e+03	60	3.525085e+02	3.555252e+02	3.615128e+02	3.646416e+02
404	4	21	Fc1_3231.jpg	90	summ	90	2.864010e+03	60	3.690088e+02	3.720274e+02	3.775128e+02	3.805420e+02
404	4	22	Fc3_1313.jpg	70	conj	69	2.415995e+03	60	3.855098e+02	3.885269e+02	3.925139e+02	3.955280e+02
404	4	23	Fc3_1111.jpg	30	conj	3.075000e+01	2.551760e+03	60	4.005124e+02	4.035296e+02	4.110140e+02	4.140313e+02
404	4	24	Fc3_1312.jpg	40	conj	42	2.186723e+03	60	4.195157e+02	4.225329e+02	4.270140e+02	4.300258e+02
