SubjecNumber	run	trial	Stimulus	StimulusValue	Condition	Rating	RatingRT	StartSliderPosition	stimulusOnset	StimulusOffset	RatingScaleOnset	RatingScaleOffset
443	4	1	Fc1_1221.jpg	50	conj	NaN	NaN	NaN	3.015141e+00	6.032366e+00	NaN	Nan
443	4	2	bid	NaN	NaN	5.175000e+01	2.387255e+03	60	NaN	Nan	1.301336e+01	1.602796e+01
443	4	3	Fc3_1312.jpg	40	summ	NaN	NaN	NaN	2.051173e+01	2.352839e+01	NaN	Nan
443	4	4	bid	NaN	NaN	4.575000e+01	-999	60	NaN	Nan	3.151184e+01	3.456162e+01
443	4	5	Fc3_1211.jpg	80	summ	NaN	NaN	NaN	4.201203e+01	4.502865e+01	NaN	Nan
443	4	6	bid	NaN	NaN	7.650000e+01	-999	60	NaN	Nan	5.301310e+01	5.606190e+01
443	4	7	Fc3_1313.jpg	30	summ	NaN	NaN	NaN	6.201195e+01	6.502894e+01	NaN	Nan
443	4	8	bid	NaN	NaN	3.225000e+01	2.334937e+03	60	NaN	Nan	7.201072e+01	7.502744e+01
443	4	9	Fc3_1213.jpg	50	summ	NaN	NaN	NaN	8.001256e+01	8.302923e+01	NaN	Nan
443	4	10	bid	NaN	NaN	4.950000e+01	2.152521e+03	60	NaN	Nan	9.051149e+01	9.352909e+01
443	4	11	Fc3_1111.jpg	90	summ	NaN	NaN	NaN	1.015157e+02	1.045330e+02	NaN	Nan
443	4	12	bid	NaN	NaN	8.775000e+01	-999	60	NaN	Nan	1.085109e+02	1.115505e+02
443	4	13	Fc1_3221.jpg	80	conj	NaN	NaN	NaN	1.185130e+02	1.215297e+02	NaN	Nan
443	4	14	bid	NaN	NaN	2.775000e+01	-999	60	NaN	Nan	1.275127e+02	1.305538e+02
443	4	15	Fc1_1211.jpg	70	conj	NaN	NaN	NaN	1.365133e+02	1.395299e+02	NaN	Nan
443	4	16	bid	NaN	NaN	6.750000e+01	1.533790e+03	60	NaN	Nan	1.470128e+02	1.500301e+02
443	4	17	Fc1_2231.jpg	90	conj	NaN	NaN	NaN	1.570135e+02	1.600303e+02	NaN	Nan
443	4	18	bid	NaN	NaN	4.050000e+01	2.001917e+03	60	NaN	Nan	1.645116e+02	1.675269e+02
443	4	19	Fc1_3231.jpg	30	conj	NaN	NaN	NaN	1.755138e+02	1.785305e+02	NaN	Nan
443	4	20	bid	NaN	NaN	7.950000e+01	2.001658e+03	60	NaN	Nan	1.865124e+02	1.895304e+02
443	4	21	Fc1_3221.jpg	80	conj	NaN	NaN	NaN	1.965156e+02	1.995328e+02	NaN	Nan
443	4	22	bid	NaN	NaN	33	2.922991e+03	60	NaN	Nan	2.045110e+02	2.076172e+02
443	4	23	Fc3_1112.jpg	70	summ	NaN	NaN	NaN	2.130185e+02	2.160357e+02	NaN	Nan
443	4	24	bid	NaN	NaN	69	1.540843e+03	60	NaN	Nan	2.220129e+02	2.250206e+02
443	4	25	Fc3_1111.jpg	90	summ	NaN	NaN	NaN	2.290145e+02	2.320312e+02	NaN	Nan
443	4	26	bid	NaN	NaN	8.850000e+01	2.870010e+03	60	NaN	Nan	2.370112e+02	2.400395e+02
443	4	27	Fc1_1221.jpg	50	conj	NaN	NaN	NaN	2.445144e+02	2.475314e+02	NaN	Nan
443	4	28	bid	NaN	NaN	48	-999	60	NaN	Nan	2.535111e+02	2.565480e+02
443	4	29	Fc3_1312.jpg	40	summ	NaN	NaN	NaN	2.645149e+02	2.675316e+02	NaN	Nan
443	4	30	bid	NaN	NaN	4.125000e+01	2.419321e+03	60	NaN	Nan	2.750123e+02	2.780294e+02
443	4	31	Fc1_3231.jpg	30	conj	NaN	NaN	NaN	2.820152e+02	2.850319e+02	NaN	Nan
443	4	32	bid	NaN	NaN	8.250000e+01	-999	60	NaN	Nan	2.910135e+02	2.940489e+02
443	4	33	Fc1_1211.jpg	70	conj	NaN	NaN	NaN	2.990167e+02	3.020339e+02	NaN	Nan
443	4	34	bid	NaN	NaN	6.825000e+01	1.574431e+03	60	NaN	Nan	3.085108e+02	3.115186e+02
443	4	35	Fc3_1313.jpg	30	summ	NaN	NaN	NaN	3.195157e+02	3.225323e+02	NaN	Nan
443	4	36	bid	NaN	NaN	2.925000e+01	2.425974e+03	60	NaN	Nan	3.280128e+02	3.310220e+02
443	4	37	Fc3_1112.jpg	70	summ	NaN	NaN	NaN	3.350158e+02	3.380326e+02	NaN	Nan
443	4	38	bid	NaN	NaN	6.975000e+01	2.637876e+03	60	NaN	Nan	3.455113e+02	3.485251e+02
443	4	39	Fc1_2211.jpg	40	conj	NaN	NaN	NaN	3.525161e+02	3.555328e+02	NaN	Nan
443	4	40	bid	NaN	NaN	9.150000e+01	2.586706e+03	60	NaN	Nan	3.615127e+02	3.645278e+02
443	4	41	Fc1_2231.jpg	90	conj	NaN	NaN	NaN	3.690160e+02	3.720330e+02	NaN	Nan
443	4	42	bid	NaN	NaN	3.825000e+01	-999	60	NaN	Nan	3.775111e+02	3.805495e+02
443	4	43	Fc3_1211.jpg	80	summ	NaN	NaN	NaN	3.855162e+02	3.885332e+02	NaN	Nan
443	4	44	bid	NaN	NaN	8.025000e+01	2.470417e+03	60	NaN	Nan	3.925129e+02	3.955165e+02
443	4	45	Fc3_1213.jpg	50	summ	NaN	NaN	NaN	4.005167e+02	4.035334e+02	NaN	Nan
443	4	46	bid	NaN	NaN	5.475000e+01	-999	60	NaN	Nan	4.110123e+02	4.140530e+02
443	4	47	Fc1_2211.jpg	40	conj	NaN	NaN	NaN	4.195166e+02	4.225337e+02	NaN	Nan
443	4	48	bid	NaN	NaN	8.925000e+01	-999	60	NaN	Nan	4.270114e+02	4.300558e+02
